Top,p.value,FDR,summary.logFC,logFC.hspc,ensembl_gene_id,external_gene_name,description
61,1.9936373350862875e-16,9.1511221938387e-16,-1.2532505865243408,-1.2532505865243408,ENSMUSG00000037405,Icam1,intercellular adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:96392]
62,4.3909936310903744e-16,1.983029381782747e-15,-1.2266476182653476,-1.2266476182653476,ENSMUSG00000045362,Tnfrsf26,"tumor necrosis factor receptor superfamily, member 26 [Source:MGI Symbol;Acc:MGI:2651928]"
63,2.666632596635753e-15,1.1851700429492221e-14,-1.3485951694775302,-1.3485951694775302,ENSMUSG00000036503,Rnf13,ring finger protein 13 [Source:MGI Symbol;Acc:MGI:1346341]
64,7.992150002913066e-14,3.4965656262744633e-13,1.1160131474120227,1.1160131474120227,ENSMUSG00000052593,Adam17,a disintegrin and metallopeptidase domain 17 [Source:MGI Symbol;Acc:MGI:1096335]
65,8.25184998073111e-14,3.554643068622635e-13,-1.0527697369289806,-1.0527697369289806,ENSMUSG00000037649,H2-DMa,"histocompatibility 2, class II, locus DMa [Source:MGI Symbol;Acc:MGI:95921]"
66,3.289454768403771e-13,1.3955262653834156e-12,-0.9949536734297048,-0.9949536734297048,ENSMUSG00000029338,Antxr2,anthrax toxin receptor 2 [Source:MGI Symbol;Acc:MGI:1919164]
67,4.0927390719931583e-13,1.710398418146396e-12,-0.6368624735971163,-0.6368624735971163,ENSMUSG00000035498,Cdcp1,CUB domain containing protein 1 [Source:MGI Symbol;Acc:MGI:2442010]
68,5.32098705247938e-13,2.1909946686679805e-12,-0.6230294763329578,-0.6230294763329578,ENSMUSG00000022901,Cd86,CD86 antigen [Source:MGI Symbol;Acc:MGI:101773]
69,7.402861704947109e-13,3.004059822297373e-12,-0.9024908354954326,-0.9024908354954326,ENSMUSG00000022667,Cd200r1,CD200 receptor 1 [Source:MGI Symbol;Acc:MGI:1889024]
70,9.169613365645578e-13,3.667845346258232e-12,0.9910224180004837,0.9910224180004837,ENSMUSG00000026656,Fcgr2b,"Fc receptor, IgG, low affinity IIb [Source:MGI Symbol;Acc:MGI:95499]"
71,1.1368864689717918e-12,4.4834959339732655e-12,0.952061261746829,0.952061261746829,ENSMUSG00000025809,Itgb1,integrin beta 1 (fibronectin receptor beta) [Source:MGI Symbol;Acc:MGI:96610]
72,1.3513409577272686e-12,5.255214835606038e-12,-0.669320563162435,-0.669320563162435,ENSMUSG00000028469,Npr2,natriuretic peptide receptor 2 [Source:MGI Symbol;Acc:MGI:97372]
73,1.683398321956496e-12,6.45687027599753e-12,1.1719925827271447,1.1719925827271447,ENSMUSG00000074785,Plxnc1,plexin C1 [Source:MGI Symbol;Acc:MGI:1890127]
74,2.078790596923661e-12,7.865694150521961e-12,1.0685871464857968,1.0685871464857968,ENSMUSG00000027366,Sppl2a,signal peptide peptidase like 2A [Source:MGI Symbol;Acc:MGI:1913802]
75,3.2498165606583894e-12,1.2132648493124654e-11,-0.900148526637238,-0.900148526637238,ENSMUSG00000022657,Cd96,CD96 antigen [Source:MGI Symbol;Acc:MGI:1934368]
76,3.781134620441101e-12,1.3930495970046183e-11,-0.9290181961679539,-0.9290181961679539,ENSMUSG00000027340,Slc23a2,"solute carrier family 23 (nucleobase transporters), member 2 [Source:MGI Symbol;Acc:MGI:1859682]"
77,3.833327313383659e-12,1.3939372048667844e-11,-1.0538154123877868,-1.0538154123877868,ENSMUSG00000028645,Slc2a1,"solute carrier family 2 (facilitated glucose transporter), member 1 [Source:MGI Symbol;Acc:MGI:95755]"
78,4.007373474128625e-12,1.438544324046174e-11,-0.9492848692420414,-0.9492848692420414,ENSMUSG00000016496,Cd274,CD274 antigen [Source:MGI Symbol;Acc:MGI:1926446]
79,4.187770153235934e-12,1.4842729657038736e-11,-0.8081556246954439,-0.8081556246954439,ENSMUSG00000026566,Mpzl1,myelin protein zero-like 1 [Source:MGI Symbol;Acc:MGI:1915731]
80,7.117147699295001e-12,2.4910016947532504e-11,1.0207508081794963,1.0207508081794963,ENSMUSG00000027312,Atrn,attractin [Source:MGI Symbol;Acc:MGI:1341628]
81,8.95035639888604e-12,3.0939503601087493e-11,0.9806017655957948,0.9806017655957948,ENSMUSG00000031021,Tmem9b,"TMEM9 domain family, member B [Source:MGI Symbol;Acc:MGI:1915254]"
82,1.1754885865323637e-11,4.013863466208072e-11,-0.5310176579269539,-0.5310176579269539,ENSMUSG00000026576,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide [Source:MGI Symbol;Acc:MGI:88108]"
83,2.6343352511197692e-11,8.886914100163087e-11,-0.6261298746353907,-0.6261298746353907,ENSMUSG00000000791,Il12rb1,"interleukin 12 receptor, beta 1 [Source:MGI Symbol;Acc:MGI:104579]"
84,2.668140134722384e-11,8.893800449074612e-11,1.0012573240716804,1.0012573240716804,ENSMUSG00000023942,Slc29a1,"solute carrier family 29 (nucleoside transporters), member 1 [Source:MGI Symbol;Acc:MGI:1927073]"
85,7.904896004327774e-11,2.6039657426020936e-10,0.9627559564067294,0.9627559564067294,ENSMUSG00000013236,Ptprs,protein tyrosine phosphatase receptor type S [Source:MGI Symbol;Acc:MGI:97815]
86,9.398763900193723e-11,3.0600626651793466e-10,-0.6783752397102837,-0.6783752397102837,ENSMUSG00000027408,Cpxm1,carboxypeptidase X 1 (M14 family) [Source:MGI Symbol;Acc:MGI:1934569]
87,9.967656552815755e-11,3.2079814192970293e-10,-0.5183505907315641,-0.5183505907315641,ENSMUSG00000050921,P2ry10,"purinergic receptor P2Y, G-protein coupled 10 [Source:MGI Symbol;Acc:MGI:1926076]"
88,2.0513780815687152e-10,6.527112077718634e-10,-0.5096858648055216,-0.5096858648055216,ENSMUSG00000031375,Bgn,biglycan [Source:MGI Symbol;Acc:MGI:88158]
89,2.2158927093615345e-10,6.971347849676749e-10,-0.9722129411926899,-0.9722129411926899,ENSMUSG00000005465,Il27ra,"interleukin 27 receptor, alpha [Source:MGI Symbol;Acc:MGI:1355318]"
90,4.283169077639147e-10,1.3325414908210676e-9,-0.4735854657707933,-0.4735854657707933,ENSMUSG00000037206,Islr,immunoglobulin superfamily containing leucine-rich repeat [Source:MGI Symbol;Acc:MGI:1349645]
91,5.185243898520956e-10,1.595459661083368e-9,-0.5884932603262495,-0.5884932603262495,ENSMUSG00000039005,Tlr4,toll-like receptor 4 [Source:MGI Symbol;Acc:MGI:96824]
92,1.2174346896788267e-9,3.7052360120659925e-9,-0.8422596830166165,-0.8422596830166165,ENSMUSG00000067336,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase) [Source:MGI Symbol;Acc:MGI:1095407]"
93,1.237770643383258e-9,3.7266212919065804e-9,-0.9808758327734344,-0.9808758327734344,ENSMUSG00000034708,Grn,granulin [Source:MGI Symbol;Acc:MGI:95832]
94,2.3081915499232043e-9,6.875464191260613e-9,0.9804216841697068,0.9804216841697068,ENSMUSG00000023961,Enpp4,ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:MGI Symbol;Acc:MGI:2682634]
95,3.472380620543362e-9,1.0234384986864634e-8,-1.000264960801335,-1.000264960801335,ENSMUSG00000040592,Cd79b,CD79B antigen [Source:MGI Symbol;Acc:MGI:96431]
96,4.516037638900891e-9,1.3171776446794261e-8,0.7382656325683781,0.7382656325683781,ENSMUSG00000028641,P3h1,prolyl 3-hydroxylase 1 [Source:MGI Symbol;Acc:MGI:1888921]
97,8.729388623996751e-9,2.5198235203289582e-8,-0.7936998777900893,-0.7936998777900893,ENSMUSG00000057530,Ece1,endothelin converting enzyme 1 [Source:MGI Symbol;Acc:MGI:1101357]
98,2.3178593833032755e-8,6.622455380866507e-8,-0.3389645962623329,-0.3389645962623329,ENSMUSG00000032816,Igdcc4,"immunoglobulin superfamily, DCC subclass, member 4 [Source:MGI Symbol;Acc:MGI:1858497]"
99,3.176933163675092e-8,8.985265513424492e-8,-0.4956014059257359,-0.4956014059257359,ENSMUSG00000037944,Ccr7,chemokine (C-C motif) receptor 7 [Source:MGI Symbol;Acc:MGI:103011]
100,3.497916629245625e-8,9.79416656188776e-8,-0.4158023730070505,-0.4158023730070505,ENSMUSG00000043110,Lrrn4,leucine rich repeat neuronal 4 [Source:MGI Symbol;Acc:MGI:2445154]
101,6.645321082106469e-8,1.8422672306829823e-7,-0.7246508059189185,-0.7246508059189185,ENSMUSG00000004707,Ly9,lymphocyte antigen 9 [Source:MGI Symbol;Acc:MGI:96885]
102,1.0201446474686637e-7,2.800397071482609e-7,0.5682217373399716,0.5682217373399716,ENSMUSG00000007891,Ctsd,cathepsin D [Source:MGI Symbol;Acc:MGI:88562]
103,1.0576744625125186e-7,2.875231548577719e-7,-0.6900604425505263,-0.6900604425505263,ENSMUSG00000017756,Slc12a7,"solute carrier family 12, member 7 [Source:MGI Symbol;Acc:MGI:1342283]"
104,1.1421787710162498e-7,3.075096691197595e-7,-0.28544356439620544,-0.28544356439620544,ENSMUSG00000055022,Cntn1,contactin 1 [Source:MGI Symbol;Acc:MGI:105980]
105,1.889438224418643e-7,5.038501931783044e-7,-0.46478933103138337,-0.46478933103138337,ENSMUSG00000052013,Btla,B and T lymphocyte associated [Source:MGI Symbol;Acc:MGI:2658978]
106,3.1787045930368217e-7,8.39657817028595e-7,0.8382284396939649,0.8382284396939649,ENSMUSG00000048376,F2r,coagulation factor II (thrombin) receptor [Source:MGI Symbol;Acc:MGI:101802]
107,4.0764693549489025e-7,1.0667396442856931e-6,-0.27020089611898823,-0.27020089611898823,ENSMUSG00000027750,Postn,"periostin, osteoblast specific factor [Source:MGI Symbol;Acc:MGI:1926321]"
108,8.550477978761109e-7,2.216790587086212e-6,0.8474499533209858,0.8474499533209858,ENSMUSG00000053063,Clec12a,"C-type lectin domain family 12, member a [Source:MGI Symbol;Acc:MGI:3040968]"
109,1.292699190923227e-6,3.3206951693440686e-6,-0.2916785795731769,-0.2916785795731769,ENSMUSG00000035914,Cd276,CD276 antigen [Source:MGI Symbol;Acc:MGI:2183926]
110,1.6269488471931886e-6,4.141324338309936e-6,0.39403209715692966,0.39403209715692966,ENSMUSG00000018166,Erbb3,erb-b2 receptor tyrosine kinase 3 [Source:MGI Symbol;Acc:MGI:95411]
111,2.265391478747254e-6,5.714501027470555e-6,-0.3353406020517477,-0.3353406020517477,ENSMUSG00000037440,Vnn1,vanin 1 [Source:MGI Symbol;Acc:MGI:108395]
112,2.513198634497699e-6,6.282996586244254e-6,0.7179796455167695,0.7179796455167695,ENSMUSG00000021733,Slc4a7,"solute carrier family 4, sodium bicarbonate cotransporter, member 7 [Source:MGI Symbol;Acc:MGI:2443878]"
113,5.001191949175737e-6,1.2392334033355801e-5,-0.1653559529965632,-0.1653559529965632,ENSMUSG00000028766,Alpl,"alkaline phosphatase, liver/bone/kidney [Source:MGI Symbol;Acc:MGI:87983]"
114,5.813629298514231e-6,1.4279089505122677e-5,-0.4819617708652659,-0.4819617708652659,ENSMUSG00000052155,Acvr2a,activin receptor IIA [Source:MGI Symbol;Acc:MGI:102806]
115,6.734469504127207e-6,1.6396969227440165e-5,0.5970584002892769,0.5970584002892769,ENSMUSG00000025008,Tctn3,tectonic family member 3 [Source:MGI Symbol;Acc:MGI:1914840]
116,6.874826122463762e-6,1.6594407881809092e-5,-0.21380595420249407,-0.21380595420249407,ENSMUSG00000028019,Pdgfc,"platelet-derived growth factor, C polypeptide [Source:MGI Symbol;Acc:MGI:1859631]"
117,8.134572614919374e-6,1.9467353266473706e-5,-0.4197592846835009,-0.4197592846835009,ENSMUSG00000003882,Il7r,interleukin 7 receptor [Source:MGI Symbol;Acc:MGI:96562]
118,9.57606576967221e-6,2.2722867928035757e-5,-0.36771636443171096,-0.36771636443171096,ENSMUSG00000026836,Acvr1,"activin A receptor, type 1 [Source:MGI Symbol;Acc:MGI:87911]"
119,1.1173535045938129e-5,2.6290670696325017e-5,-0.3997490568282412,-0.3997490568282412,ENSMUSG00000029386,NA,NA
120,1.1532210608076452e-5,2.6908491418845074e-5,-0.2088055748490551,-0.2088055748490551,ENSMUSG00000038552,Fndc4,fibronectin type III domain containing 4 [Source:MGI Symbol;Acc:MGI:1917195]
121,1.4165529568109783e-5,3.277973784355981e-5,0.5614039421155015,0.5614039421155015,ENSMUSG00000005087,Cd44,CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]
122,1.4793336834491731e-5,3.395192060375152e-5,-0.6238011738115516,-0.6238011738115516,ENSMUSG00000037902,Sirpa,signal-regulatory protein alpha [Source:MGI Symbol;Acc:MGI:108563]
123,1.5143008065324866e-5,3.447188827878828e-5,-0.17880965830909878,-0.17880965830909878,ENSMUSG00000040605,Bace2,beta-site APP-cleaving enzyme 2 [Source:MGI Symbol;Acc:MGI:1860440]
124,1.614963762721179e-5,3.646692367434921e-5,0.4341038570406095,0.4341038570406095,ENSMUSG00000037370,Enpp1,ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:MGI Symbol;Acc:MGI:97370]
125,2.2355655449443177e-5,5.0076668206752726e-5,-0.22606292612828444,-0.22606292612828444,ENSMUSG00000018500,Adora2b,adenosine A2b receptor [Source:MGI Symbol;Acc:MGI:99403]
126,2.2559041787434294e-5,5.013120397207624e-5,0.7083506738496754,0.7083506738496754,ENSMUSG00000024614,Tmx3,thioredoxin-related transmembrane protein 3 [Source:MGI Symbol;Acc:MGI:2442418]
127,2.30082719426342e-5,5.072689877116201e-5,0.6897638300391122,0.6897638300391122,ENSMUSG00000031835,Mbtps1,"membrane-bound transcription factor peptidase, site 1 [Source:MGI Symbol;Acc:MGI:1927235]"
128,2.3542989854187985e-5,5.150029030603626e-5,0.5096151898867488,0.5096151898867488,ENSMUSG00000079037,Prnp,prion protein [Source:MGI Symbol;Acc:MGI:97769]
129,3.825110693257827e-5,8.302565845830948e-5,0.472643019476871,0.472643019476871,ENSMUSG00000040907,Atp1a3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide [Source:MGI Symbol;Acc:MGI:88107]"
130,4.7394111455440824e-5,1.0207962467325724e-4,-0.5766900852153551,-0.5766900852153551,ENSMUSG00000004709,Cd244a,CD244 molecule A [Source:MGI Symbol;Acc:MGI:109294]
131,5.308346848705979e-5,1.1346084867463162e-4,-0.45861638859884135,-0.45861638859884135,ENSMUSG00000029090,Adgra3,adhesion G protein-coupled receptor A3 [Source:MGI Symbol;Acc:MGI:1917943]
132,5.520664028088379e-5,1.1623986710619001e-4,0.6394442788665797,0.6394442788665797,ENSMUSG00000029767,Calu,calumenin [Source:MGI Symbol;Acc:MGI:1097158]
133,5.521393687544027e-5,1.1623986710619001e-4,-0.34882365452894687,-0.34882365452894687,ENSMUSG00000023972,Ptk7,PTK7 protein tyrosine kinase 7 [Source:MGI Symbol;Acc:MGI:1918711]
134,6.122564151900179e-5,1.2793417630836183e-4,-0.6426115156054615,-0.6426115156054615,ENSMUSG00000038213,Tapbpl,TAP binding protein-like [Source:MGI Symbol;Acc:MGI:2384853]
135,8.993990762683124e-5,1.8654203063342783e-4,-0.17011618575715737,-0.17011618575715737,ENSMUSG00000022883,Robo1,roundabout guidance receptor 1 [Source:MGI Symbol;Acc:MGI:1274781]
136,9.996690717782807e-5,2.058142206602343e-4,-0.17123595665359115,-0.17123595665359115,ENSMUSG00000022015,Tnfsf11,"tumor necrosis factor (ligand) superfamily, member 11 [Source:MGI Symbol;Acc:MGI:1100089]"
137,1.0319313316905082e-4,2.0956159400328036e-4,0.629025471584165,0.629025471584165,ENSMUSG00000031703,Itfg1,integrin alpha FG-GAP repeat containing 1 [Source:MGI Symbol;Acc:MGI:106419]
138,1.032839284730453e-4,2.0956159400328036e-4,0.6296114962868296,0.6296114962868296,ENSMUSG00000030830,Itgal,integrin alpha L [Source:MGI Symbol;Acc:MGI:96606]
139,1.0794541869031167e-4,2.1744400887257025e-4,-0.4490023446970195,-0.4490023446970195,ENSMUSG00000027087,Itgav,integrin alpha V [Source:MGI Symbol;Acc:MGI:96608]
